sentence,code
touch the smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
please fetch the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
"robot, point out the green block"," ( tap ( find ( ""green block"" )  )  ) "
please where is the green block," ( tap ( find ( ""green block"" )  )  ) "
please pick up the red block and place it on the blue block," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
"robot, arrange by size"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
move the green block to the blue block," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
arrange the blocks by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, move the blue block to the red block"," ( drag_to ( find ( ""blue block"" )  ,   find ( ""red block"" )  )  ) "
please where is the red block," ( tap ( find ( ""red block"" )  )  ) "
"robot, place the smallest block on the biggest block"," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
pick up the red block and place it on the blue block," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
please fetch the red block," ( pick_up ( find ( ""red block"" )  )  ) "
pick up the green block and put it on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
please relocate the blue block to the green block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""green block"" )  )  ) "
please move the green block to the red block," ( drag_to ( find ( ""green block"" )  ,   find ( ""red block"" )  )  ) "
"robot, point out the blue block"," ( tap ( find ( ""blue block"" )  )  ) "
please order the blocks from the biggest to the smallest," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, pick up the blue block"," ( pick_up ( find ( ""blue block"" )  )  ) "
place the green block on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
please where is the largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
please pick up the green block and place it on the blue block," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
please touch the second largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
"robot, where is the second largest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
please point out the red block," ( tap ( find ( ""red block"" )  )  ) "
point out the largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
please pick up the smallest block and place it on the biggest block," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
relocate the green block to the blue block," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
put the blue block on the red block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
pick up the blue block and put it on the red block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
pick up the red block," ( pick_up ( find ( ""red block"" )  )  ) "
please put the smallest block on the biggest block," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
pick up the smallest block and place it on the biggest block," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
"robot, drag the green block to the blue block"," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
"robot, touch the green block"," ( tap ( find ( ""green block"" )  )  ) "
please where is the blue block," ( tap ( find ( ""blue block"" )  )  ) "
show me where the second largest block is," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
please drag the blue block to the red block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""red block"" )  )  ) "
place the red block on the green block," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
move the blue block to the green block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""green block"" )  )  ) "
point out the second smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
pick up the green block and place it on the blue block," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
drag the red block to the blue block," ( drag_to ( find ( ""red block"" )  ,   find ( ""blue block"" )  )  ) "
please point out the smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
please take the red block," ( pick_up ( find ( ""red block"" )  )  ) "
please arrange the blocks by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, pick up the red block and put it on the green block"," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
please pick up the red block," ( pick_up ( find ( ""red block"" )  )  ) "
lift up the green block," ( pick_up ( find ( ""green block"" )  )  ) "
collect the red block," ( pick_up ( find ( ""red block"" )  )  ) "
lift up the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
"robot, relocate the blue block to the red block"," ( drag_to ( find ( ""blue block"" )  ,   find ( ""red block"" )  )  ) "
please order by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
please place the red block on the blue block," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
"robot, put the red block on the green block"," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
please put the red block on the green block," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
"robot, pick up the blue block and place it on the red block"," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
pick up the red block and put it on the blue block," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
pick up the red block and place it on the green block," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
show me where the red block is," ( tap ( find ( ""red block"" )  )  ) "
please collect the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
please show me where the smallest block is," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
"robot, where is the green block"," ( tap ( find ( ""green block"" )  )  ) "
fetch the red block," ( pick_up ( find ( ""red block"" )  )  ) "
"robot, pick up the smallest block and place it on the biggest block"," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
please lift the green block," ( pick_up ( find ( ""green block"" )  )  ) "
please relocate the green block to the red block," ( drag_to ( find ( ""green block"" )  ,   find ( ""red block"" )  )  ) "
"robot, sort by size"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, drag the blue block to the green block"," ( drag_to ( find ( ""blue block"" )  ,   find ( ""green block"" )  )  ) "
pick up the blue block and place it on the red block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
please place the blue block on the red block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
"robot, touch the second largest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
please order the blocks by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, point out the largest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
"robot, place the green block on the blue block"," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
"robot, collect the blue block"," ( pick_up ( find ( ""blue block"" )  )  ) "
please touch the second smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
please pick up the green block and place it on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
please place the red block on the green block," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
move the blue block to the red block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""red block"" )  )  ) "
please show me where the largest block is," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
show me where the second smallest block is," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
please put the green block on the blue block," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
where is the largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
pick up the red block and put it on the green block," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
pick up the smallest block and put it on the biggest block," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
"robot, lift up the green block"," ( pick_up ( find ( ""green block"" )  )  ) "
please relocate the green block to the blue block," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
please lift the red block," ( pick_up ( find ( ""red block"" )  )  ) "
please relocate the red block to the green block," ( drag_to ( find ( ""red block"" )  ,   find ( ""green block"" )  )  ) "
sort the blocks from the biggest to the smallest," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, touch the largest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
"robot, place the blue block on the green block"," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
touch the blue block," ( tap ( find ( ""blue block"" )  )  ) "
"robot, pick up the green block and place it on the blue block"," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
"robot, move the blue block to the green block"," ( drag_to ( find ( ""blue block"" )  ,   find ( ""green block"" )  )  ) "
"robot, put the smallest block on the biggest block"," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
"robot, point out the red block"," ( tap ( find ( ""red block"" )  )  ) "
"robot, pick up the smallest block and put it on the biggest block"," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
"robot, move the red block to the green block"," ( drag_to ( find ( ""red block"" )  ,   find ( ""green block"" )  )  ) "
place the red block on the blue block," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
pick up the green block and place it on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
show me where the smallest block is," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
"robot, point out the smallest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
"robot, move the green block to the red block"," ( drag_to ( find ( ""green block"" )  ,   find ( ""red block"" )  )  ) "
please pick up the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
lift up the red block," ( pick_up ( find ( ""red block"" )  )  ) "
please move the red block to the green block," ( drag_to ( find ( ""red block"" )  ,   find ( ""green block"" )  )  ) "
"robot, touch the second smallest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
move the red block to the blue block," ( drag_to ( find ( ""red block"" )  ,   find ( ""blue block"" )  )  ) "
"robot, fetch the red block"," ( pick_up ( find ( ""red block"" )  )  ) "
"robot, drag the blue block to the red block"," ( drag_to ( find ( ""blue block"" )  ,   find ( ""red block"" )  )  ) "
order the blocks by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, lift up the blue block"," ( pick_up ( find ( ""blue block"" )  )  ) "
please lift the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
please collect the green block," ( pick_up ( find ( ""green block"" )  )  ) "
please pick up the blue block and place it on the red block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
"robot, show me where the red block is"," ( tap ( find ( ""red block"" )  )  ) "
please arrange the blocks from the biggest to the smallest," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, pick up the blue block and put it on the red block"," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
please show me where the blue block is," ( tap ( find ( ""blue block"" )  )  ) "
put the blue block on the green block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
please show me where the green block is," ( tap ( find ( ""green block"" )  )  ) "
please move the red block to the blue block," ( drag_to ( find ( ""red block"" )  ,   find ( ""blue block"" )  )  ) "
please pick up the green block," ( pick_up ( find ( ""green block"" )  )  ) "
"robot, pick up the red block and put it on the blue block"," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
"robot, arrange the blocks from the biggest to the smallest"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
put the green block on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
please arrange by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, drag the red block to the green block"," ( drag_to ( find ( ""red block"" )  ,   find ( ""green block"" )  )  ) "
put the smallest block on the biggest block," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
"robot, pick up the green block"," ( pick_up ( find ( ""green block"" )  )  ) "
"robot, collect the red block"," ( pick_up ( find ( ""red block"" )  )  ) "
where is the second largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
"robot, drag the green block to the red block"," ( drag_to ( find ( ""green block"" )  ,   find ( ""red block"" )  )  ) "
"robot, show me where the smallest block is"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
"robot, show me where the green block is"," ( tap ( find ( ""green block"" )  )  ) "
please place the green block on the blue block," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
"robot, order by size"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, place the red block on the green block"," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
"robot, where is the second smallest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
please pick up the blue block and put it on the red block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
take the green block," ( pick_up ( find ( ""green block"" )  )  ) "
please lift up the red block," ( pick_up ( find ( ""red block"" )  )  ) "
"robot, pick up the green block and put it on the red block"," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
please put the blue block on the green block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
take the red block," ( pick_up ( find ( ""red block"" )  )  ) "
please pick up the blue block and place it on the green block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
drag the green block to the red block," ( drag_to ( find ( ""green block"" )  ,   find ( ""red block"" )  )  ) "
please touch the smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
where is the green block," ( tap ( find ( ""green block"" )  )  ) "
please lift up the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
relocate the red block to the green block," ( drag_to ( find ( ""red block"" )  ,   find ( ""green block"" )  )  ) "
"robot, fetch the green block"," ( pick_up ( find ( ""green block"" )  )  ) "
collect the green block," ( pick_up ( find ( ""green block"" )  )  ) "
touch the green block," ( tap ( find ( ""green block"" )  )  ) "
touch the largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
"robot, drag the red block to the blue block"," ( drag_to ( find ( ""red block"" )  ,   find ( ""blue block"" )  )  ) "
where is the second smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
sort the blocks by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, pick up the red block and place it on the green block"," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
lift the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
"robot, pick up the blue block and place it on the green block"," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
please fetch the green block," ( pick_up ( find ( ""green block"" )  )  ) "
"robot, touch the smallest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
"robot, point out the second smallest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
please collect the red block," ( pick_up ( find ( ""red block"" )  )  ) "
"robot, take the blue block"," ( pick_up ( find ( ""blue block"" )  )  ) "
"robot, sort the blocks from the biggest to the smallest"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
please relocate the red block to the blue block," ( drag_to ( find ( ""red block"" )  ,   find ( ""blue block"" )  )  ) "
pick up the blue block and place it on the green block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
lift the red block," ( pick_up ( find ( ""red block"" )  )  ) "
show me where the green block is," ( tap ( find ( ""green block"" )  )  ) "
fetch the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
please pick up the red block and place it on the green block," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
"robot, pick up the blue block and put it on the green block"," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
"robot, sort the blocks by size"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
please where is the second largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
"robot, order the blocks from the biggest to the smallest"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
please where is the second smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
"robot, show me where the largest block is"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
please touch the green block," ( tap ( find ( ""green block"" )  )  ) "
please point out the second smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  1 )  )  ) "
pick up the blue block and put it on the green block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
"robot, pick up the green block and put it on the blue block"," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
please place the smallest block on the biggest block," ( drop_on ( get ( sort ( findAll (  )  ,  'size' )  ,  0 )  ,  get ( sort ( findAll (  )  ,  'size' )  ,  -1 )  )  ) "
please show me where the red block is," ( tap ( find ( ""red block"" )  )  ) "
"robot, move the green block to the blue block"," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
"robot, take the green block"," ( pick_up ( find ( ""green block"" )  )  ) "
place the green block on the blue block," ( drop_on ( find ( ""green block"" )  ,  find ( ""blue block"" )  )  ) "
"robot, lift the blue block"," ( pick_up ( find ( ""blue block"" )  )  ) "
"robot, relocate the red block to the green block"," ( drag_to ( find ( ""red block"" )  ,   find ( ""green block"" )  )  ) "
please point out the blue block," ( tap ( find ( ""blue block"" )  )  ) "
where is the smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
point out the blue block," ( tap ( find ( ""blue block"" )  )  ) "
please sort the blocks from the biggest to the smallest," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
please show me where the second largest block is," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
please touch the red block," ( tap ( find ( ""red block"" )  )  ) "
"robot, relocate the green block to the blue block"," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
please sort the blocks by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
drag the green block to the blue block," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
"robot, place the green block on the red block"," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
"robot, place the red block on the blue block"," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
touch the red block," ( tap ( find ( ""red block"" )  )  ) "
